date,Adj Close,Close,High,Low,Open,Volume
20/12/2022,130.2119141,132.3000031,133.25,129.8899994,131.3899994,77432800
21/12/2022,133.3122101,135.4499969,136.8099976,132.75,132.9799957,85928000
22/12/2022,130.1430359,132.2299957,134.5599976,130.3000031,134.3500061,77852100
23/12/2022,129.7788239,131.8600006,132.4199982,129.6399994,130.9199982,63814900
27/12/2022,127.9777679,130.0299988,131.4100037,128.7200012,131.3800049,69007800
28/12/2022,124.0507202,126.0400009,131.0299988,125.8700027,129.6699982,85438400
29/12/2022,127.5643616,129.6100006,130.4799957,127.7300034,127.9899979,75703700
30/12/2022,127.8793335,129.9299927,129.9499969,127.4300003,128.4100037,77034200
3/1/2023,123.0960236,125.0699997,130.8999939,124.1699982,130.2799988,112117500
4/1/2023,124.3656616,126.3600006,128.6600037,125.0800018,126.8899994,89113600
5/1/2023,123.046814,125.0199966,127.7699966,124.7600021,127.1299973,80962700
6/1/2023,127.5742035,129.6199951,130.2899933,124.8899994,126.0100021,87754700
9/1/2023,128.0958405,130.1499939,133.4100037,129.8899994,130.4700012,70790800
10/1/2023,128.666687,130.7299957,131.2599945,128.1199951,130.2599945,63896200
11/1/2023,131.3831329,133.4900055,133.5099945,130.4600067,131.25,69458900
12/1/2023,131.3043976,133.4100037,134.2599945,131.4400024,133.8800049,71379600
13/1/2023,132.6330566,134.7599945,134.9199982,131.6600037,132.0299988,57809700
17/1/2023,133.7944641,135.9400024,137.2899933,134.1300049,134.8300018,63646600
18/1/2023,133.0759888,135.2100067,138.6100006,135.0299988,136.8200073,69672800
19/1/2023,133.1350555,135.2700043,136.25,133.7700043,134.0800018,58280400
20/1/2023,135.6940155,137.8699951,138.0200043,134.2200012,135.2799988,80223600
23/1/2023,138.882843,141.1100006,143.3200073,137.8999939,138.1199951,81760300
24/1/2023,140.2804565,142.5299988,143.1600037,140.3000031,140.3099976,66435100
25/1/2023,139.6210175,141.8600006,142.4299927,138.8099976,140.8899994,65799300
26/1/2023,141.6878815,143.9600067,144.25,141.8999939,143.1699982,54105100
27/1/2023,143.6267853,145.9299927,147.2299957,143.0800018,143.1600037,70555800
30/1/2023,140.743042,143,145.5500031,142.8500061,144.9600067,64015300
31/1/2023,142.0126801,144.2899933,144.3399963,142.2799988,142.6999969,65874500
1/2/2023,143.1346741,145.4299927,146.6100006,141.3200073,143.9700012,77663600
2/2/2023,148.4396362,150.8200073,151.1799927,148.1699982,148.8999939,118339000
3/2/2023,152.0615234,154.5,157.3800049,147.8300018,148.0299988,154357300
6/2/2023,149.3352661,151.7299957,153.1000061,150.7799988,152.5700073,69858300
7/2/2023,152.2091522,154.6499939,155.2299957,150.6399994,150.6399994,83322600
8/2/2023,149.5222778,151.9199982,154.5800018,151.1699982,153.8800049,64120100
9/2/2023,148.4888153,150.8699951,154.3300018,150.4199982,153.7799988,56007100
10/2/2023,148.8535461,151.0099945,151.3399963,149.2200012,149.4600067,57450700
13/2/2023,151.6529999,153.8500061,154.2599945,150.9199982,150.9499969,62199000
14/2/2023,151.0122833,153.1999969,153.7700043,150.8600006,152.1199951,61707600
15/2/2023,153.1118317,155.3300018,155.5,152.8800049,153.1100006,65573800
16/2/2023,151.5149994,153.7100067,156.3300018,153.3500061,153.5099945,68167900
17/2/2023,150.3715363,152.5500031,153,150.8500061,152.3500061,59144100
21/2/2023,146.3596802,148.4799957,151.3000031,148.4100037,150.1999969,58867200
22/2/2023,146.7835388,148.9100037,149.9499969,147.1600037,148.8699951,51011300
23/2/2023,147.26651,149.3999939,150.3399963,147.2400055,150.0899963,48394200
24/2/2023,144.6149445,146.7100067,147.1900024,145.7200012,147.1100006,55469600
27/2/2023,145.8076782,147.9199982,149.1699982,147.4499969,147.7100067,44998500
28/2/2023,145.3049316,147.4100037,149.0800018,146.8300018,147.0500031,50547000
1/3/2023,143.2349548,145.3099976,147.2299957,145.0099945,146.8300018,55479000
2/3/2023,143.8263855,145.9100037,146.7100067,143.8999939,144.3800049,52238100
3/3/2023,148.8732605,151.0299988,151.1100006,147.3300018,148.0399933,70732300
6/3/2023,151.6332703,153.8300018,156.3000031,153.4600067,153.7899933,87558000
7/3/2023,149.4351196,151.6000061,154.0299988,151.1300049,153.6999969,56182000
8/3/2023,150.6869965,152.8699951,153.4700012,151.8300018,152.8099976,47204800
9/3/2023,148.4395447,150.5899963,154.5399933,150.2299957,153.5599976,53833600
10/3/2023,146.3793793,148.5,150.9400024,147.6100006,150.2100067,68572400
13/3/2023,148.3212585,150.4700012,153.1399994,147.6999969,147.8099976,84457100
14/3/2023,150.4109955,152.5899963,153.3999939,150.1000061,151.2799988,73695900
15/3/2023,150.8052673,152.9900055,153.25,149.9199982,151.1900024,77167900
16/3/2023,153.6244049,155.8500061,156.4600067,151.6399994,152.1600037,76161100
17/3/2023,152.7865601,155,156.7400055,154.2799988,156.0800018,98944600
20/3/2023,155.1523132,157.3999939,157.8200073,154.1499939,155.0700073,73641400
21/3/2023,157.0054321,159.2799988,159.3999939,156.5399933,157.3200073,73938300
22/3/2023,155.5761566,157.8300018,162.1399994,157.8099976,159.3000031,75701800
23/3/2023,156.6604309,158.9299927,161.5500031,157.6799927,158.8300018,67622100
24/3/2023,157.9616089,160.25,160.3399963,157.8500061,158.8600006,59196500
27/3/2023,156.0197144,158.2799988,160.7700043,157.8699951,159.9400024,52390300
28/3/2023,155.3987274,157.6499939,158.4900055,155.9799957,157.9700012,45992200
29/3/2023,158.4741821,160.7700043,161.0500031,159.3500061,159.3699951,51305700
30/3/2023,160.0414581,162.3600006,162.4700012,161.2700043,161.5299988,49501700
31/3/2023,162.5451813,164.8999939,165,161.9100037,162.4400024,68749800
3/4/2023,163.7970734,166.1699982,166.2899933,164.2200012,164.2700043,56976200
4/4/2023,163.2647705,165.6300049,166.8399963,165.1100006,166.6000061,46278300
5/4/2023,161.421463,163.7599945,165.0500031,161.8000031,164.7400055,51511700
6/4/2023,162.3085938,164.6600037,164.9600067,162,162.4299927,45390100
10/4/2023,159.7162018,162.0299988,162.0299988,160.0800018,161.4199982,47716900
11/4/2023,158.5037537,160.8000031,162.3600006,160.5099945,162.3500061,47644200
12/4/2023,157.813736,160.1000061,162.0599976,159.7799988,161.2200012,50133100
13/4/2023,163.1957703,165.5599976,165.8000031,161.4199982,161.6300049,68445600
14/4/2023,162.8507538,165.2100067,166.3200073,163.8200073,164.5899963,49386500
17/4/2023,162.8704681,165.2299957,165.3899994,164.0299988,165.0899963,41516200
18/4/2023,164.0927582,166.4700012,167.4100037,165.6499939,166.1000061,49923000
19/4/2023,165.2362213,167.6300049,168.1600037,165.5399933,165.8000031,47720200
20/4/2023,164.2701874,166.6499939,167.8699951,165.5599976,166.0899963,52456400
21/4/2023,162.6634827,165.0200043,166.4499969,164.4900055,165.0500031,58337300
24/4/2023,162.9690704,165.3300018,165.6000061,163.8899994,165,41949600
25/4/2023,161.4313049,163.7700043,166.3099976,163.7299957,165.1900024,48714100
26/4/2023,161.421463,163.7599945,165.2799988,162.8000031,163.0599976,45498800
27/4/2023,166.0050812,168.4100037,168.5599976,165.1900024,165.1900024,64902300
28/4/2023,167.2569275,169.6799927,169.8500061,167.8800049,168.4900055,55275900
1/5/2023,167.1681976,169.5899963,170.4499969,168.6399994,169.2799988,52472900
2/5/2023,166.133194,168.5399933,170.3500061,167.5399933,170.0899963,48425700
3/5/2023,165.0587921,167.4499969,170.9199982,167.1600037,169.5,65136000
4/5/2023,163.4224701,165.7899933,167.0399933,164.3099976,164.8899994,81235400
5/5/2023,171.0913696,173.5700073,174.3000031,170.7599945,170.9799957,113453200
8/5/2023,171.0223541,173.5,173.8500061,172.1100006,172.4799957,55962800
9/5/2023,169.3170776,171.7700043,173.5399933,171.6000061,173.0500031,45326900
10/5/2023,171.081543,173.5599976,174.0299988,171.8999939,173.0200043,53724500
11/5/2023,171.2687836,173.75,174.5899963,172.1699982,173.8500061,49514700
